Entity Name,Entity ID,Fiscal Year,Annual Required Contributions (ARC),Contributions Made,Percentage of ARC Recognized (%)
City of Emeryville Pension Plan,7221,20142015,35300,0,0%
City of Emeryville Pension Plan,7221,20132014,35300,0,0%
City of Emeryville Pension Plan,7221,20122013,35300,0,0%
City of Kerman Employees' Retirement Trust,7251,20042005,0,102460,NULL
AC Transit Employees' Retirement Plan,7159,20152016,42274162,42274162,100%
AC Transit Employees' Retirement Plan,7159,20142015,40384282,40384282,100%
AC Transit Employees' Retirement Plan,7159,20132014,39151289,39151289,100%
AC Transit Employees' Retirement Plan,7159,20122013,38374000,38373505,100%
AC Transit Employees' Retirement Plan,7159,20112012,38312183,38312183,100%
AC Transit Employees' Retirement Plan,7159,20102011,38360000,38460619,100%
AC Transit Employees' Retirement Plan,7159,20092010,33279000,33279081,100%
AC Transit Employees' Retirement Plan,7159,20082009,27246151,27246151,100%
AC Transit Employees' Retirement Plan,7159,20072008,24987070,24987070,100%
AC Transit Employees' Retirement Plan,7159,20062007,22032946,22032945,100%
AC Transit Employees' Retirement Plan,7159,20052006,20996687,20196272,96%
AC Transit Employees' Retirement Plan,7159,20042005,19395857,19395857,100%
AC Transit Employees' Retirement Plan,7159,20032004,17027456,17027456,100%
AC Transit Employees' Retirement Plan,7159,20022003,14112215,14112216,100%
Alameda County Employees' Retirement Association,7258,20152016,224607000,224607000,100%
Alameda County Employees' Retirement Association,7258,20142015,213255000,179215000,84%
Alameda County Employees' Retirement Association,7258,20132014,191180000,158940000,83%
Alameda County Employees' Retirement Association,7258,20122013,179649000,146296000,81%
Alameda County Employees' Retirement Association,7258,20112012,162879000,162879000,100%
Alameda County Employees' Retirement Association,7258,20102011,147543000,147543000,100%
Alameda County Employees' Retirement Association,7258,20092010,132198000,132198000,100%
Alameda County Employees' Retirement Association,7258,20082009,129660000,129660000,100%
Alameda County Employees' Retirement Association,7258,20072008,130040000,130040000,100%
Alameda County Employees' Retirement Association,7258,20062007,127096000,127096000,100%
Alameda County Employees' Retirement Association,7258,20052006,100801000,100801000,100%
Alameda County Employees' Retirement Association,7258,20042005,85497767,85497767,100%
Alameda County Employees' Retirement Association,7258,20032004,49091005,49091005,100%
Alameda County Employees' Retirement Association,7258,20022003,26985360,26985360,100%
